"","author_id","possibly_sensitive","id","text","created_at","twitter","sexe","age","majo","num_deptmt","groupe_sigle","parti_ratt_financier","nb_mandats","age_group"
"525792","526824153",FALSE,"1185923483215286272","#Laïcité #Voile. Tribune de @jeanlouisbianco et @ncadene : "" la laïcité circonscrit la neutralité aux seules personnes exerçant une mission de service public... "".  https://t.co/1wdWpWsPfb","2019-10-20T14:19:26.000Z","DBagarry","F",47,TRUE,"4","LREM","En marche !",1,3
"1426","889730003495211009",FALSE,"1147126390397001730","<U+2714><U+FE0F> Nous avons redynamisé notre économie. Les premiers résultats sont là. 
La création d’#entreprise a augmenté de <U+2795>17% en 2018. #2ansEM https://t.co/EBoYSBQJge","2019-07-05T12:53:38.000Z","AdrienMorenas","M",35,TRUE,"84","LREM","En marche !",1,2
"45737","4070381506",FALSE,"1497217964462030849","<U+0001F3DB>En application de l'article 18 de la Constitution @RichardFerrand transmet à l'Assemblée Nationale la déclaration du Président de la République. <U+0001F1E8><U+0001F1F5> et <U+0001F1EA><U+0001F1FA> apporteront soutien économique, politique et militaire à l'Ukraine. #DirectAN #StandWithUkraine #StopWar https://t.co/Ekl2p4gnb5","2022-02-25T14:32:34.000Z","ainakuric","F",30,TRUE,"51","LREM","En marche !",1,1
"832067","843748232",FALSE,"975638130710675458","« Nous savons parfaitement que nous vivons un moment difficile. Ce moment où nous avons ouvert plusieurs chantiers de réformes. C’est une défaite dont il ne faut pas exagérer le sens. » #LegislativesPartielles #Polmat @LCP","2018-03-19T07:40:31.000Z","GillesLeGendre","M",59,TRUE,"75","LREM","En marche !",1,4
"69933","849566433138933760",FALSE,"1454400062751186944","Vous pouvez dès à présent retrouver mon journal d'octobre <U+0001F5DE> en cliquant ici <U+0001F449><U+0001F3FC>https://t.co/Vzq6IrAfYH
Bonne lecture à tous et n’hésitez pas à le diffuser autour de vous ! https://t.co/Tmq3oZIYy5","2021-10-30T10:49:31.000Z","A_Ardisson","F",41,TRUE,"6","LREM","En marche !",1,2
"404374","864206680648810496",FALSE,"1310826885488807936","Les polémiques n’ont pas lieu d’être, la #5G n’est pas dangereuse pour notre santé et la France accuse un retard important, au niveau européen comme mondial. 

https://t.co/znf7WFeQwp","2020-09-29T06:20:58.000Z","Ch_Hennion","F",62,TRUE,"92","LREM","En marche !",1,4
"1516314","35712322",FALSE,"1241276056327335936","Face au #coronavirus, nous manquons de masques et de tests pour une raison simple : personne, pas plus le Gouvernement que tous les spécialistes et les moins spécialistes qui le critiquent aujourd’hui, n’avait anticipé une pandémie de cette nature. Nous nous y adaptons. #69Inter https://t.co/FM5AvwjTVD","2020-03-21T08:10:48.000Z","oliviagregoire","F",39,TRUE,"75","LREM","En marche !",1,2
"486797","15243103",FALSE,"1044626876088635392","<U+0001F698>J’organise une présentation du projet d’expérimentation de péage autoroutier sans barrière sur l’A13 à l’intention de mes collègues députés concernés (Normandie &amp; IDF). Les barrières actuelles seraient remplacées par des portiques pour permettre un trafic libre sur l’autoroute. https://t.co/nOPllFxIRe","2018-09-25T16:37:10.000Z","damienadam76","M",28,TRUE,"76","LREM","En marche !",1,1
"621922","162094209",FALSE,"1222407695061471232","<U+2705>Municipales. Les députés bretons LREM entrent en jeu et appellent à voter ( entre autre) pour <U+2066>@CPoilbout<U+2069> et <U+2066>@GaelCornec<U+2069>.
#WarRaok 
#Lannion #Saintbrieuc  https://t.co/A7pdDNRck7","2020-01-29T06:34:40.000Z","ebothorel","M",51,TRUE,"22","LREM","En marche !",1,3
"1026790","94168587",FALSE,"1014090036080455680","Mes prochaines permanences, 
Ce samedi 7 juillet, 
De 9H00 à 9H45  à la Mairie de Mouzon,
De 10H15 à 11H00 à la Mairie de Balan, 
De 11H15 à 12H00 à la Mairie de Vrigne aux Bois, 
De 13H15 à... https://t.co/xU6wjTkuyc","2018-07-03T10:14:40.000Z","warsmann","M",52,TRUE,"8","UAI","Les R<e9>publicains",1,3
