"","lang","conversation_id","possibly_sensitive","id.x","created_at","author_id","source","text","in_reply_to_user_id","id_twi","twitter.x","type","pre.nom","sexe","age","groupe.sigle","commissions","nb.mandats","cabcollab","duree.pol","hautdip","naissance_an","majo","profsigni2","id.y","nom_de_famille","prenom","date_naissance","lieu_naissance","num_deptmt","nom_circo","num_circo","mandat_debut","mandat_fin","groupe_sigle","parti_ratt_financier","sites_web","profession","place_en_hemicycle","url_an","id_an","slug","url_nosdeputes","url_nosdeputes_api","nb_mandats","twitter.y","age_group","twi_actif"
"477596","fr","1367040568220606465",FALSE,"1367040568220606465","2021-03-03T09:14:04.000Z","400123170","Twitter Web App","[COMMISSION DEVELOPPEMENT DURABLE]
<U+0001F9EA> Je préside ce matin une table ronde sur les solutions que propose l'hydrogène dans la décarbonations de notre industrie https://t.co/zAoXtWZe9z",NA,123,"DamienPichereau","tweet","damien pichereau","M",29,"LREM","DvptDurable",0,FALSE,0,"PtEc",1988,TRUE,"EmployeInter",105,"Pichereau","Damien","1988-01-28","Mamers (Sarthe)","72","Sarthe",1,"2017-06-21",NA,"LREM","En marche !","http://www.damien-pichereau.fr|https://twitter.com/DamienPichereau","Employ<e9> (secteur priv<e9>)",303,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721372",721372,"damien-pichereau","https://www.nosdeputes.fr/damien-pichereau","https://www.nosdeputes.fr/damien-pichereau/csv",1,"DamienPichereau",1,1
"155753","fr","1001836197390450689",FALSE,"1001836197390450689","2018-05-30T14:42:17.000Z","377992263","Twitter for iPhone","#DirectAN Explication sur mon vote contre l'inscription dans la loi d'une interdiction du glyphosate. https://t.co/3P5niRjrW3",NA,36,"antoineherth","tweet","antoine herth","M",54,"LC","affaires <e9>conomiques",3,FALSE,22,"Pro",1963,TRUE,"AgriArtiCommPDG",456,"Herth","Antoine","1963-02-14","S<e9>lestat (Bas-Rhin)","67","Bas-Rhin",5,"2017-06-21",NA,"UAI","Union des d<e9>mocrates, radicaux et lib<e9>raux","https://fr-fr.facebook.com/antoine.herth/|https://twitter.com/antoineherth|http://www.antoine-herth.fr","Agriculteur",143,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267355",267355,"antoine-herth","https://www.nosdeputes.fr/antoine-herth","https://www.nosdeputes.fr/antoine-herth/csv",1,"antoineherth",3,1
"669156","fr","913341563614482432",FALSE,"913341563614482432","2017-09-28T09:56:12.000Z","881156720155930624","Twitter Web Client","« La 1ère des libertés est la sécurité. Les personnes exceptionnellement dangereuses méritent des mesures exceptionnelles » #PJLTerrorisme https://t.co/KFzpwA6uEV",NA,170,"FabienDiFilippo","tweet","fabien di filippo","M",31,"LR","affaires <e9>conomiques",0,FALSE,3,"ScPo",1986,FALSE,"cadsupprive",331,"Di Filippo","Fabien","1986-08-23","Sarrebourg (Moselle)","57","Moselle",4,"2017-06-21",NA,"LR","Les R<e9>publicains","","Cadre du secteur priv<e9>",13,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720386",720386,"fabien-di-filippo","https://www.nosdeputes.fr/fabien-di-filippo","https://www.nosdeputes.fr/fabien-di-filippo/csv",2,"FabienDiFilippo",1,1
"368103","fr","1233088642077413376",FALSE,"1233088642077413376","2020-02-27T17:56:56.000Z","866946801726877697","Twitter for iPhone","Les députés communistes ont fini par retirer et défendre par « grappes » leur amendement pour éviter le 49-3 au termes de plusieurs jours d’obstruction !

Le débat a eu lieu en 3 semaines , obstruction incluse. @deputesPCF sont-ils prêts à faire de même ? https://t.co/G6dPllpFaB",NA,93,"CdLavergne","quoted","celia de lavergne","F",38,"LREM","affaires <e9>conomiques",0,TRUE,3,"GdEc",1979,TRUE,"cadsuppub",341,"Lavergne (de)","C<e9>lia","1979-11-21","Clamart (Hauts-de-Seine)","26","Dr<f4>me",3,"2017-06-21",NA,"LREM","En marche !","https://fr-fr.facebook.com/celiadeputee2017/|http://celiadelavergne2017.fr|https://twitter.com/CdLavergne|https://www.facebook.com/celiadelavergne","Ing<e9>nieur",473,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719310",719310,"celia-de-lavergne","https://www.nosdeputes.fr/celia-de-lavergne","https://www.nosdeputes.fr/celia-de-lavergne/csv",1,"CdLavergne",2,1
"333864","fr","862914612651577344",FALSE,"862914612651577344","2017-05-12T06:17:30.000Z","832246158391144448","Twitter Web Client","RT @BFMTV: Gérald Dahan évoque sa candidature aux législatives: ""Cet engagement n'est pas un canular"" https://t.co/iPlXjyBPJe https://t.co/…",NA,82,"CarolineFiat54","retweeted","caroline fiat","F",40,"LFI","Aff. Sociales",0,FALSE,0,"Pro",1977,FALSE,"EmployeInter",166,"Fiat","Caroline","1977-01-28","VERDUN (Meuse)","54","Meurthe-et-Moselle",6,"2017-06-21",NA,"LFI","La France Insoumise","https://fr-fr.facebook.com/kro.epousefiat/|https://twitter.com/CarolineFiat54","Salari<e9>e du secteur m<e9>dical",602,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720286",720286,"caroline-fiat","https://www.nosdeputes.fr/caroline-fiat","https://www.nosdeputes.fr/caroline-fiat/csv",1,"CarolineFiat54",2,1
"384790","fr","966071928019652608",FALSE,"966071928019652608","2018-02-20T22:07:51.000Z","846977443571388420","Twitter for Android","RT @RichardFerrand: <U+2705> Nous venons d'adopter le projet de loi relatif à l'élection des représentants au Parlement européen, qui redonnera se…",NA,98,"duboschristelle","retweeted","christelle dubos","F",41,"LREM","affaires <e9>conomiques",0,FALSE,3,"Pro",1976,TRUE,"EmployeInter",543,"Dubos","Christelle","1976-03-26","Coteau (Loire)","33","Gironde",12,"2017-06-21",NA,"LREM","En marche !","https://twitter.com/duboschristelle|https://fr-fr.facebook.com/duboschristelle/|http://christelledubos.fr","Directrice d'un service emploi et solidarit<e9>s",370,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719660",719660,"christelle-dubos","https://www.nosdeputes.fr/christelle-dubos","https://www.nosdeputes.fr/christelle-dubos/csv",1,"duboschristelle",2,1
"249162","fr","920174992347795456",FALSE,"920174992347795456","2017-10-17T06:29:48.000Z","2968734303","Twitter for Android","RT @enmarchefr: Réforme du dialogue social : ""Je fais ce que j'ai dit."" @EmmanuelMacron #TF1EMacron https://t.co/vqScMQ39qb",NA,61,"BertrandBouyx","retweeted","bertrand bouyx","M",47,"LREM","Aff. Etrangeres",0,FALSE,0,"Doct",1970,TRUE,"proflib",181,"Bouyx","Bertrand","1970-05-26","Juvisy-sur-Orge (Essonne)","14","Calvados",5,"2017-06-21",NA,"LREM","En marche !","https://fr-fr.facebook.com/bertrandbouyx/|https://twitter.com/BertrandBouyx","Pharmacien",210,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719032",719032,"bertrand-bouyx","https://www.nosdeputes.fr/bertrand-bouyx","https://www.nosdeputes.fr/bertrand-bouyx/csv",1,"BertrandBouyx",3,1
"264905","fr","1093222730349064192",FALSE,"1093222730349064192","2019-02-06T18:59:44.000Z","863383857072140288","Twitter for iPhone","RT @JeanLucLAGLEIZE: Suite à la mission du groupe d'amitié France-Argentine menée par @N_Forissier en septembre 2018, nous accueillons cett…",NA,66,"BHammouche5708","retweeted","brahim hammouche","M",46,"MODEM","Aff. Sociales",0,FALSE,0,"Doct",1971,TRUE,"proflib",326,"Hammouche","Brahim","1971-05-17","Smaoun (Alg<e9>rie)","57","Moselle",8,"2017-06-21",NA,"MODEM","Mouvement D<e9>mocrate","http://www.hammouche.fr|https://twitter.com/BHammouche5708|https://www.facebook.com/Brahim-Hammouche-En-MarcheMoDem-Moselle-8-1119428938162720","M<e9>decin",182,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720326",720326,"brahim-hammouche","https://www.nosdeputes.fr/brahim-hammouche","https://www.nosdeputes.fr/brahim-hammouche/csv",1,"BHammouche5708",3,1
"197639","fr","921499576590323712",FALSE,"922464000897617921","2017-10-23T14:05:31.000Z","37509285","Twitter for Android","@GMeurice @NicoleFerroniZe @M_Orphelin @Projet_Arcadie @libreactu_fr Ah et sinon avec @M_Orphelin on a rendu publics nos agendas. Jetez y un coup d oeil ;)","37509285",44,"auroreberge","replied_to","aurore berge","F",31,"LREM","Aff. Cult. & Educ.",0,FALSE,3,"ScPo",1986,TRUE,"collab",23,"Berg<e9>","Aurore","1986-11-13","Paris (Paris)","78","Yvelines",10,"2017-06-21",NA,"LREM","En marche !","http://auroreberge2017.fr|https://fr-fr.facebook.com/Aurore-Berg<e9>-39829403685/|https://twitter.com/auroreberge|http://www.auroreberge.fr","Cadre sup<e9>rieur (secteur priv<e9>)",462,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722046",722046,"aurore-berge","https://www.nosdeputes.fr/aurore-berge","https://www.nosdeputes.fr/aurore-berge/csv",2,"auroreberge",1,1
"521458","fr","1280150795653206017",FALSE,"1280150795653206017","2020-07-06T14:45:08.000Z","128193181","Twitter for Android","RT @FranceONUGeneve: Parce que c’est #NotreGénérationÉgalité, @GenEgaliteFR organise un événement numérique ! https://t.co/183a6NJ5b7

<U+0001F5D3>le…",NA,133,"odelphine","retweeted","delphine o","F",32,"LREM","Aff. Etrangeres",0,FALSE,0,"GdEc",1985,TRUE,"AgriArtiCommPDG",579,"O","Delphine","1985-12-25","Mont-Saint-Aignan (Seine-Maritime)","75","Paris",16,"2017-07-22",NA,"LREM","En marche !","https://twitter.com/odelphine|https://fr-fr.facebook.com/delphineo16e/|https://www.delphine-o.fr","Chef d'entreprise",240,"http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721956",721956,"delphine-o","https://www.nosdeputes.fr/delphine-o","https://www.nosdeputes.fr/delphine-o/csv",1,"odelphine",1,1
