,X,text,possibly_sensitive,created_at,twitter.x,sexe,Label,sentiment,test
0,248552,"Article de Var Matin, ce jour, sur la proposition de loi que je porte pour valoriser le volontariat des sapeurs-pompiers et renforcer notre modèle de Sécurité Civile. Rendez-vous ce mois-ci à l'Assemblée Nationale pour l'examen du texte. https://t.co/0305Wil94i",False,2021-05-08,famatras,M,0,0,True
1,592816,"Je me réjouis de l’annonce du @gouvernementFR ce matin qui maintient ses positions sur l’étiquetage du #miel. 
<U+0001F41D>
C’est également ce que je propose par un amendement sur la future #PPLegalim qui sera examinée en commission @AN_AfEco la semaine prochaine à l’@AssembleeNat https://t.co/RAK1YLoxwY",False,2019-11-22,SandrineLeFeur,F,1,1,True
2,11907,"Une fois guéris, les enfants hospitalisés au @CH_Versailles peuvent embarquer sur un voilier et faire rêver les autres grâce à leurs vidéos.

C'est grâce au beau projet des @MatelotsdelaVie, qui redonnent le sourire aux enfants à l'hôpital pendant les vacances.

#DroitAuxVacances https://t.co/KD6w9MJzpx",False,2019-08-09,AdrienTaquet,M,1,1,True
3,74888,"« Progressivement nous devons avoir une fonction publique plus moderne, plus efficace et ça passe notamment par la formation professionnelle sur laquelle nous investissons beaucoup. » #greve #22hminuit @franceinfo https://t.co/peIeq8HUsr",False,2018-03-21,auroreberge,F,0,1,False
4,253273,"Réaction commune, avec ma collègue députée Sabine Thillaye, à la réforme de la carte des zones défavorisées simples https://t.co/N6rK8WRRyR",False,2018-02-22,fabiennecolboc,F,0,0,True
5,536209,Solidarité et Compassion pour les victimes et leurs familles. Une pensée pour mon ami Gérard Colomb que je sais très affecté par cet attentat #attentatlyon @gerardcollomb,False,2019-05-25,PatrickVignal,M,-1,-1,True
6,147970,"Petit-déjeuner du numérique organisé par Virginie Duby-Muller et Damien Abad, autour de nombreuses compagnies du numérique français sur la taxe #GAFAM (Google, Amazon, Facebook, Apple, Microsoft) et l'impact sur nos entreprises. https://t.co/uRhKHcH7KU",False,2019-04-04,Cdganay,M,0,0,True
7,443582,"L’union nationale aux quatre coins de France <U+0001F1EB><U+0001F1F7>. MLP

https://t.co/uUWZD0H08j",False,2021-05-05,MLP_officiel,F,0,0,True
8,76961,"Vous ne connaissez pas le sens du mot ""reconquête"". Je suis fière d'être investie dans mon département et dans cette circo symbolique.
<U+0001F4AA><U+0001F4AA><U+0001F4AA> https://t.co/Ca3XbNKGt0",False,2017-05-11,auroreberge,F,1,1,True
9,435960,"Accords commerciaux: nous avons des intérêts offensifs <U+0001F1EB><U+0001F1F7> dans ces traités, nos PME doivent s’emparer de ces nouvelles opportunités!
Il y a un travail d’information et de mobilisation à accroître sur le terrain! #CETA #BercyFinEx https://t.co/pP0l1r1zGC",False,2018-03-08,marielebec78,F,0,0,True
10,537468,"Calendrier scolaire et son influence sur tourisme, loi littoral, taxes de séjour parmi d’autres sujets abordés dans ces échanges avec les professionnels de l’hôtellerie, le camping, la restauration,les plages privées par @JBLemoyne , les représentants @Prefet34 @Occitanie https://t.co/q2tvIjUQsT",False,2018-08-02,PatrickVignal,M,0,0,True
11,139877,Transparence: 13 députés n'ont pas fourni leurs déclarations d'intérêts ou de patrimoine https://t.co/8JAvzJvpWw via @Le_Scan,False,2017-10-19,cpiresbeaune,F,0,0,True
12,440532,Joyeux anniversaire Monsieur le Président @NicolasSarkozy <U+0001F609> https://t.co/bViPCq0HVQ,False,2021-01-28,marinebrenier,F,1,1,True
13,590634,"Participation, ce matin, au Forum de l'industrie de demain, au Palais de  la Bourse. Tables rondes sur l'innovation et l'attractivité des métiers https://t.co/gXxJZNUjKO",False,2017-12-14,saidahamada,M,0,0,True
14,594810,"#SNUjyvais | Avec @Kerlogot22 nous échangeons et présentons en live le Service National Universel avec les élèves du lycée Auguste Pavie de Guingamp. 

Les inscriptions se terminent demain, dernière ligne droite, rendez-vous sur <U+0001F449> https://t.co/F63oG6OVnY https://t.co/o6pCzsJdyX",False,2021-04-29,sarahelhairy,F,0,0,True
15,356190,"Rendez-vous à 19h20 sur #LCI. 
#JLMLCI https://t.co/aEDNY8gyJn",False,2020-07-01,jlmelenchon,M,0,0,True
16,188937,Didier Le Gac demande au ministre Darmanin de réévaluer les effectifs au commissariat de Brest https://t.co/qQgLxG9SHt via @LeTelegramme #SecuriteDuQuotidien @GDarmanin @Interieur_Gouv @PoliceNationale #encirco @bretagnegouv @Prefet29,False,2020-09-02,didierlegac,M,0,0,True
17,677453,"Ikéa à Parilly ? non merci !
https://t.co/BNOE5aWNlM https://t.co/pfwBRQgXG7",False,2019-09-10,yves_blein,M,-1,-1,True
18,93607,"Avec une grande tristesse j’apprends le décès de notre collègue député Olivier Dassault, pour qui j’avais beaucoup de  respect et une grande considération. Nous étions proches dans l’hémicycle. 
@Republicains_An @lesRepublicains https://t.co/qJNv3EIfMZ",False,2021-03-07,b_perrut,M,-1,-1,True
19,16575,On continue le marathon des vœux. Le sport au #Havre se conjugue au @SportFem_ avec les vœux de notre équipe de #basket féminine ALA basket . Une équipe de filles super sympas et une équipe de dirigeants motivés . Objectif 2019 le maintien et un beau parcours en coupe de #France. https://t.co/ld1WbgCkV8,False,2019-01-23,agnesfirmin,F,1,1,True
20,186411,Enchanté de faire partie de la Commission Spéciale qui va porter le projet de loi #bioéthique &gt;&gt; https://t.co/VfTrqSDaRW #liberté #humanité https://t.co/7lU6EVaghk,False,2019-07-24,dbaichere,M,1,1,True
21,535238,"@SudRadio #10HeuresMidi #ParlonsVrai 
@valerie_expert #proportionnelleàlassemblée Comprendre à quoi sert la classe politique. Je crois en une démocratie active. Travailler les lois dans nos territoires, et les faire voter à Paris @EmmanuelMacron @JeunesMacron @RichardFerrand",False,2021-01-20,PatrickVignal,M,1,0,False
22,142117,"Bravo à @DeauvilleFr et à Frédéric Torres pour la réussite de ce premier marathon organisé. 
Félicitations aux plus de 6000 coureurs présents et merci aux bénévoles, forces de l’ordre, la sécurité et les secours pour leur implication à cette réussite. #directan https://t.co/CfblqmZJMr",False,2019-11-17,christoblanchet,M,1,1,True
23,283223,Il suffit de lire les projets et visionner les auditions au CSA pour comprendre que ce n’est pas le renforcement de la qualité et de l’attractivité du service public qui a guidé le choix définitif. Que sera FTV dans 600 jours...  https://t.co/OrBOOn7S1f,False,2020-07-23,dumasfrederique,F,-1,-1,True
24,489004,#alerte #inondation #solidarité #Aude Mes pensées accompagnent les habitants de l’#Aude dans la tourmente. Beaucoup de tristesse pour les victimes et leurs familles. Je salue le courage et le travail des services de secours. @LaREM_AN @Daniele_herin  @PereaAlain @MRobert_11 https://t.co/iumeYXxnoH,False,2018-10-15,3807Limon,F,-1,-1,True
25,567527,La France décroche les Mondiaux de ski alpin en 2023 à Courchevel/Meribel ! Très belle reconnaissance de notre savoir-faire dans l'univers du ski et de notre attractivité internationale https://t.co/jNqs0x8X1j,False,2018-05-17,pybournazel,M,1,1,True
26,672916,#DirectAN : la @AN_ComLois se réunit à 9h30 pour parler @Conv_Citoyenne sur le climat et nouvelles formes de participation citoyenne ! Le sujet vous passionne autant que moi <U+0001F609> ? Suivez notre table-ronde en direct ici : https://t.co/UJkrf41Tdn https://t.co/wfpd7YrIJx,False,2020-01-08,YaelBRAUNPIVET,F,1,1,True
27,169521,Merci @oliviagregoire de ta venue en circonscription pour rencontrer les acteurs de l’#ESS et en particulier le travail exemplaire de l’entreprise adaptée du Moulinet lauréate de #FranceRelance https://t.co/R7ypNNv7t5,False,2021-05-21,LabaronneDaniel,M,1,1,True
28,342510,En accord avec le Ministère de la Justice je jouerai un détenu dans un court-métrage pour valoriser les métiers pénitentiaires. https://t.co/et2rpts4fa,False,2019-11-15,JFCesarini,M,0,1,False
29,517011,"À l’occasion de la Journée internationale des #AidesSoignants, @olivierveran rappelle les engagements pris auprès de la profession dans le cadre du #Ségur de la #santé 

<U+0001F449><U+0001F3FB> Revalorisation des #salaires 
<U+0001F449><U+0001F3FB> Augmentation de la capacité de #formation des aides-soignants https://t.co/LSaH85n7F6",False,2020-11-26,olivierdam1,M,0,1,False
30,296918,<U+25B6><U+FE0F> suivez l’événement en direct : https://t.co/Vca8E0Ziv8 https://t.co/5syUYh1Ua4,False,2018-06-19,GillesLeGendre,M,0,0,True
31,60261,"#AffaireBenalla
Voyages privés, sans lien avec l'Élysée, mais quand même avec 3 passeports diplomatiques, sans visa. A part ça, rien à dire. Qui de 'normal' fait en 3 mois 20 voyages, chez des chefs d'Etat, avec des titres fournis par l'Élysée, mais à titre privé ?
#BenallaSenat https://t.co/XP6w5J2jI6",False,2019-01-22,arnaudviala,M,-1,-1,True
